,sample_id,weight,area_max,d13C,se_C,d18O,se_O,pCO3,se_CO3,batch_id,notes
78,LAR140-A,1.025,16.656,-10.7981898,0.109431692,-10.20160535,0.204241806,0.035781573,0.00275499,23-318altered,
79,LAR142-A,0.969,19.246,-9.200353186,0.093346043,-5.644405172,0.237286818,0.043735016,0.003367362,23-318altered,
80,LAR144-A,0.993,17.576,-8.858338154,0.089990065,-6.971198221,0.224658662,0.038974753,0.003000847,23-318altered,
81,LAR151-A,1.007,13.941,-8.720811617,0.088651277,-4.840268776,0.24591569,0.030484357,0.002347132,23-318altered,
82,LAR152-A,1.052,17.379,-9.657781822,0.097888108,-4.701964135,0.247466898,0.03637656,0.0028008,23-318altered,
83,LAR153-A,0.987,16.264,-9.301690997,0.094347239,-6.199555944,0.231744942,0.036284638,0.002793723,23-318altered,
84,LAR169-A,0.906,15.585,-10.02531061,0.101576883,-7.761883197,0.218207487,0.037878362,0.002916431,23-318altered,
85,LAR171-A,0.977,13.374,-10.88489264,0.110320183,-6.394805404,0.229881989,0.030142505,0.002320811,23-318altered,
86,LAR172-A,0.938,14.697,-10.34397434,0.104800503,-7.664147392,0.218957995,0.034501537,0.002656434,23-318altered,
87,LAR177-A,0.967,13.192,-11.11818582,0.112717474,-6.723123198,0.226855078,0.03003978,0.002312902,23-318altered,
88,LAR178-A,1.008,13.848,-9.577699899,0.097088825,-6.402962593,0.229805165,0.030250956,0.002329162,23-318altered,
89,LAR179-A,0.922,15.044,-9.02117789,0.091583339,-5.46741565,0.239126891,0.035928988,0.00276634,23-318altered,
90,LAR188-A,0.959,19.704,-9.703337033,0.098343524,-8.34012247,0.214051352,0.045242685,0.003483445,23-318altered,
91,LAR189-A,1.051,13.706,-7.756891777,0.079469792,-6.259204934,0.231170928,0.028715778,0.002210961,23-318altered,
92,LAR190-A,1.005,13.251,-9.782255983,0.099133719,-6.152977857,0.232196127,0.029033218,0.002235402,23-318altered,
93,LAR194-A,0.969,12.872,-8.689240967,0.088344857,-6.816837287,0.226016018,0.029250604,0.00225214,23-318altered,
94,LAR196-A,0.959,15.85,-9.353566298,0.094860902,-6.202090691,0.231720463,0.036393451,0.002802101,23-318altered,
95,LAR197-A,0.954,15.597,-10.25894253,0.103938153,-5.020552672,0.243922396,0.03600023,0.002771825,23-318altered,
96,LAR198-A,1.072,15.392,-9.437836277,0.095696947,-6.836978377,0.225837158,0.031616431,0.002434296,23-318altered,
97,LAR112-A,1.074,17.43,-10.34006244,0.104760797,-6.376518833,0.230054507,0.035735979,0.002751479,23-318altered,
98,LAR113-A,1.037,16.314,-9.27476645,0.094080939,-6.8976443,0.225301591,0.034641308,0.002667195,23-318altered,
99,LAR116-A,0.913,12.532,-9.401539053,0.095336599,-6.326768417,0.230525921,0.030224713,0.002327141,23-318altered,
100,LAR117-A,0.929,14.423,-9.818002731,0.099492151,-8.115324734,0.215608463,0.034186329,0.002632164,23-318altered,
101,LAR119-A,0.921,14.136,-8.221873095,0.08385145,-6.953890744,0.22480931,0.033797104,0.002602196,23-318altered,
102,LAR120-A,0.949,13.57,-9.621097709,0.097521764,-11.37464807,0.201111621,0.031486633,0.002424302,23-318altered,
103,LAR121-A,0.936,14.856,-9.003153789,0.091406568,-5.610255445,0.237639168,0.034949311,0.00269091,23-318altered,
104,LAR122-A,0.957,14.976,-9.463485197,0.095951801,-7.421913821,0.220876077,0.034458508,0.002653121,23-318altered,
105,LAR124-A,0.953,16.539,-10.00441474,0.101366291,-7.215860708,0.222571438,0.038214566,0.002942317,23-318altered,
106,LAR128-A,0.917,14.155,-9.616866858,0.097479535,-6.437750465,0.22947845,0.033990153,0.00261706,23-318altered,
107,LAR132-A,0.995,15.772,-9.760671095,0.098917441,-9.177498693,0.208937533,0.034904086,0.002687428,23-318altered,
108,LAR137-A,0.936,13.781,-10.31858129,0.104542819,-10.92657982,0.202015754,0.032420333,0.002496192,23-318altered,
109,LAR139-A,0.967,14.531,-9.498778575,0.096302778,-7.646841692,0.219092297,0.033088845,0.002547664,23-318altered,
